school_code,concertado_status
11005755,No
11500213,No
11005433,Sí
11005524,Sí
11012656,Sí
11005494,Sí
11000678,Sí
11005469,Sí
11013511,No
11005561,Sí
11013223,No
11012826,No
11013314,No
11013341,No
11013417,No
11012978,No
11013260,No
11010635,No
11012127,No
11013375,No
11013399,No
11012346,No
11012607,No
11005500,No
11006796,No
11007259,No
11007326,No
11005536,No
11603634,No
11005603,No
11007171,No
11005548,No
11005411,No
11005421,No
11603609,No
11700238,No
11011366,No
11011378,No
11700871,No
11700196,No
11005639,No
11007685,No
11005551,No
11700615,No
11701188,No
11500043,No
11005780,No
11011780,No
11701051,No
11603154,No
11008616,No
11005779,No
11701061,No
11500572,No
11005962,No
11007120,No
11007107,No
11011381,No
11700585,No
11700731,No
11500021,No
11006012,No
11009803,No
11603506,No
11500331,No
11012243,No
11003591,No
11012681,No
11500237,No
11008227,Sí
11007132,No
11006024,No
11011536,No
11001233,No
11700159,No
11500161,No
11006051,Sí
11013545,No
11006061,No
11008033,No
11603075,No
11006085,No
11006048,No
11011974,No
11710013,No
11006693,No
11700858,No
11006681,No
11500481,No
11006221,Sí
11006474,No
11006449,No
11011469,No
11700597,No
11500183,No
11006255,No
11500080,No
11008306,No
11012498,No
11006279,No
11006280,No
11007764,No
11011391,No
11012735,No
11007545,No
11700743,No
11500079,No
11006358,No
11012012,No
11000851,No
11004601,No
14500200,No
14000011,No
14011092,No
14003253,No
14700471,No
14500421,No
14000136,Sí
14010166,No
14012308,No
14000070,No
14000094,No
14000082,No
14010282,No
14002029,No
14700390,No
14008081,No
14011675,No
14000367,No
14500546,No
14000151,No
14011018,No
14500741,No
14012151,No
14007738,No
14007532,No
14700481,No
14000069,No
14500340,No
14000185,No
14011080,No
14500145,No
14000291,Sí
14601171,Sí
14000306,Sí
14003150,No
14007489,No
14012448,No
14000288,No
14011572,No
14008068,No
14500625,No
14000355,No
14008275,No
14500285,No
14000380,Sí
14000471,Sí
14000434,Sí
14011274,No
14003241,No
14013210,No
14007015,No
14000422,No
14000392,No
14000410,No
14700262,No
14010294,No
14000483,No
14500510,No
14000525,No
14012953,No
14700729,No
14500479,No
14000550,No
14011079,No
14700493,No
14012850,No
14500443,No
14012941,No
14012849,No
14010634,No
14011067,No
14700501,No
14500170,No
14000677,Sí
14000665,Sí
14003459,No
14000653,No
14007970,No
14010300,No
14000318,No
14000689,No
14500352,No
14012722,No
14000768,Sí
14006862,Sí
14011641,No
14011201,No
14011316,No
14012278,No
14000732,No
14000719,No
14000720,No
14000744,No
14700109,No
14008299,No
14010312,No
14010324,No
14000847,No
14000501,No
14000835,No
14007209,No
14012588,No
14500169,No
14000926,No
14011021,No
14700511,No
14500339,No
14010828,No
14000951,No
14500649,No
14000999,No
14000446,No
14500261,No
14001323,Sí
14010920,No
14001402,No
14001281,No
14012631,No
14006989,No
14700717,No
14007091,No
14001441,No
14011699,No
14001414,No
14012989,No
14012886,No
14012333,No
14012321,No
14012606,No
14012539,No
14500753,No
14500731,No
14500674,No
14500765,No
14500716,No
14500728,No
14500686,No
14500704,No
14500777,No
14003101,Sí
14002111,No
14012734,No
14008007,Sí
14001335,No
14006941,Sí
14002145,Sí
14002157,Sí
14007866,No
14012801,No
14002170,Sí
14000252,No
14002182,Sí
14012692,No
14002200,Sí
14013052,No
14007131,No
14003046,Sí
14000239,No
14002212,Sí
14012761,No
14013106,No
14002236,Sí
14012655,No
14007453,Sí
14003447,No
14007519,Sí
14002285,Sí
14011250,No
14002844,No
14002327,Sí
14002480,Sí
14008196,No
14002303,Sí
14012916,No
14012928,No
14013155,No
14007878,No
14002364,Sí
14002352,Sí
14000161,No
14007416,Sí
14002251,Sí
14002455,Sí
14002467,Sí
14012461,No
14002492,Sí
14002558,Sí
14003137,Sí
14002595,Sí
14002601,Sí
14002650,Sí
14002686,Sí
14002807,Sí
14002704,No
14007431,No
14003010,Sí
14003058,Sí
14002731,Sí
14006904,Sí
14012473,Sí
14601132,Sí
14002790,Sí
14002777,Sí
14006931,Sí
14002959,Sí
14002017,Sí
14003022,Sí
14013027,No
14012862,No
14000173,No
14012746,No
14012931,No
14001980,No
14011341,No
14011869,No
14011742,No
14013118,No
14010971,No
14011754,No
14008949,No
14011262,No
14010671,No
14012059,No
14010786,No
14013003,No
14012904,No
14011596,No
14010658,No
14012291,No
14011471,No
14011298,No
14011961,No
14011456,No
14012102,No
14011936,No
14012576,No
14601120,No
14011444,No
14012591,No
14006746,No
14010944,No
14010178,No
14013076,No
14007507,No
14011249,No
14007039,No
14012023,No
14010245,No
14012709,No
14011419,No
14007362,No
14011602,No
14012898,No
14012311,No
14010877,No
14011195,No
14011882,No
14011122,No
14011894,No
14011900,No
14012205,No
14007957,No
14013131,No
14009838,No
14012370,No
14011584,No
14012011,No
14008354,No
14008020,No
14012163,No
14011304,No
14012837,No
14601223,No
14012187,No
14006801,No
14010701,No
14012540,No
14011331,No
14009735,No
14011213,No
14007349,No
14010051,No
14011791,No
14011778,No
14007027,No
14012710,No
14011468,No
14012242,No
14007052,No
14010233,No
14010816,No
14010208,No
14011560,No
14010841,No
14011924,No
14012679,No
14011651,No
14012412,No
14012515,No
14011985,No
14008688,No
14011237,No
14011377,No
14011390,No
14012680,No
14010853,No
14012813,No
14010804,No
14011663,No
14011687,No
14011547,No
14012758,No
14007003,No
14012369,No
14011328,No
14012643,No
14013039,No
14012357,No
14006990,No
14011161,No
14011705,No
14007192,No
14006436,No
14011389,No
14011183,No
14012281,No
14012382,No
14012424,No
14012990,No
14007611,No
14001724,No
14001712,No
14001645,No
14001748,No
14001694,No
14001670,No
14001530,No
14008093,No
14007295,No
14001487,No
14600759,No
14001505,No
14600590,No
14001608,No
14001773,No
14007672,No
14001529,No
14601156,No
14008071,No
14007234,No
14002248,No
14600693,No
14007271,No
14001554,No
14001736,No
14001682,No
14007441,No
14001463,No
14001566,No
14003186,No
14600966,No
14601211,No
14600981,No
14004129,No
14001761,No
14001578,No
14007982,No
14007891,No
14001657,No
14001815,No
14001591,No
14001864,No
14001891,No
14001669,No
14001621,No
14601193,No
14012400,No
14008101,No
14002613,No
14700328,No
14700225,No
14007829,No
14012217,No
14010661,No
14007647,No
14003198,No
14010348,No
14600644,No
14010361,No
14010385,No
14010397,No
14007301,No
14007465,No
14010373,No
14601053,No
14010351,No
14010403,No
14010415,No
14010427,No
14010439,No
14700213,No
14007817,No
14700067,No
14700286,No
14002984,No
14007180,No
14004555,No
14000707,No
14700146,No
14007659,No
14700079,No
14700730,No
14700705,No
14007374,No
14002996,No
14002960,No
14002923,No
14700161,No
14002261,No
14008056,No
14700559,No
14700535,No
14002972,No
14007945,No
14004889,No
14700018,No
14010713,No
14500315,No
14003356,No
14011353,No
14003666,No
14700560,No
14500561,No
14003381,No
14010592,No
14700572,No
14001050,No
14012138,No
14500157,No
14010749,No
14012114,No
14001220,No
14700523,No
14004041,No
14600838,No
14012825,No
14003231,No
14500571,No
14006849,No
14012497,No
14700675,No
14003216,No
14010981,No
14500455,No
14003401,No
14008263,No
14500251,No
14003423,No
14012667,No
14700742,No
14500480,No
14003484,No
14011523,No
14500066,No
14012254,No
14008147,Sí
14011951,No
14012266,No
14003526,No
14003538,No
14000276,No
14007076,No
14003551,No
14700365,No
14003851,No
14003587,No
14500558,No
14003681,No
14600851,No
14012047,No
14700766,No
14003708,No
14500108,No
14011638,No
14007040,No
14011833,No
14007593,No
14010610,No
14011870,No
14003861,No
14700304,No
14004002,No
14500091,No
14010695,No
14004038,No
14500522,No
14004075,No
14004051,No
14012141,No
14011614,No
14002546,No
14004099,No
14004105,No
14500121,No
14013209,No
14004208,No
14011766,No
14700353,No
14500391,No
14004397,No
14008330,No
14700584,No
14004464,No
14010968,No
14500078,No
14011432,No
14013167,No
14001074,No
14011535,No
14010683,No
14002418,No
14000321,No
14700298,No
14006539,No
14006540,No
14011006,No
14500030,No
14006357,No
14006308,No
14010580,No
14011626,No
14006345,No
14003964,No
14500081,No
14006631,No
14010890,No
14001301,No
14601107,No
14601181,No
14500388,No
14012783,No
14012795,No
14008135,Sí
14007969,No
14004610,Sí
14013015,No
14601004,No
14011559,No
14601247,No
14008494,No
14010142,No
14012503,No
14012394,No
14012001,No
14010889,No
14011171,No
14013121,No
14006451,No
14600711,No
14004476,No
14007261,No
14004488,No
14004506,No
14004521,No
14004622,No
14700122,No
14010440,No
14010452,No
14000409,No
14006965,No
14000331,No
14007404,No
14004580,No
14700420,No
14005882,No
14500303,No
14011501,No
14004658,No
14010579,No
14700602,No
14600841,No
14500054,No
14006874,No
14010567,No
14700781,No
14001141,No
14500029,No
14004701,No
14010622,No
14010750,No
14700614,No
14500017,No
14012230,No
14002224,No
14004798,Sí
14004750,Sí
14004804,Sí
14013064,No
14012451,No
14007106,Sí
14008691,No
14002881,No
14011973,No
14011493,No
14004749,No
14004786,No
14004762,No
14004774,No
14007143,No
14700237,No
14006953,No
14010464,No
14010476,No
14004828,No
14004841,No
14500224,No
14011997,No
14007337,No
14004920,No
14004932,No
